Round,Accuracy (%),Epsilon Acumulado,ASR
1,10.0,1.0,0.0
2,10.0,1.8,0.0
3,10.0,2.4000000000000004,0.0
4,10.0,2.9000000000000004,0.0
5,10.0,3.4000000000000004,0.0
6,10.0,3.9000000000000004,0.0
7,10.0,4.4,0.0
8,11.48,4.9,0.0004
9,11.66,5.4,0.6967
10,10.01,5.9,0.0
11,10.440000000000001,7.4,0.0068
12,14.87,8.700000000000001,0.4082
13,15.290000000000001,9.8,0.5613
14,17.44,10.700000000000001,0.5508
15,18.9,11.400000000000002,0.5404
16,20.09,11.900000000000002,0.4713
17,18.17,12.400000000000002,0.4909
18,18.54,12.900000000000002,0.4837
19,21.88,13.400000000000002,0.3778
20,23.53,14.900000000000002,0.3592
21,25.740000000000002,16.200000000000003,0.3059
22,26.99,17.300000000000004,0.2095
23,27.68,18.200000000000003,0.209
24,28.999999999999996,18.900000000000002,0.0676
25,29.439999999999998,20.6,0.0328
26,30.81,22.1,0.0479
27,31.6,23.400000000000002,0.0739
28,32.32,24.500000000000004,0.0687
29,34.02,25.400000000000006,0.0681
30,35.67,26.100000000000005,0.1022
31,35.88,26.600000000000005,0.0738
32,37.6,28.100000000000005,0.0901
33,39.050000000000004,29.400000000000006,0.0927
34,39.57,30.500000000000007,0.1176
35,40.760000000000005,31.40000000000001,0.1518
36,41.099999999999994,32.10000000000001,0.1903
37,42.39,32.60000000000001,0.203
38,43.34,34.10000000000001,0.2069
39,43.980000000000004,35.400000000000006,0.2105
40,44.31,36.50000000000001,0.2227
41,44.97,37.400000000000006,0.2248
42,45.07,38.10000000000001,0.257
43,45.989999999999995,38.60000000000001,0.271
44,46.58,40.10000000000001,0.2809
45,47.48,41.40000000000001,0.2823
46,48.55,42.500000000000014,0.2746
47,49.36,43.40000000000001,0.2817
48,47.96,44.100000000000016,0.3051
49,48.17,44.600000000000016,0.2883
50,49.1,46.100000000000016,0.2874
51,49.78,47.40000000000002,0.2983
52,50.27,48.50000000000002,0.31
53,51.06,49.40000000000002,0.2896
54,51.74999999999999,50.10000000000002,0.2631
55,51.76,50.60000000000002,0.2819
56,52.31,51.10000000000002,0.3143
57,53.02,51.60000000000002,0.3103
58,51.85999999999999,52.10000000000002,0.3387
59,52.89,53.60000000000002,0.3402
60,53.400000000000006,54.90000000000002,0.3388
61,54.059999999999995,56.00000000000002,0.35
62,54.2,56.90000000000002,0.3543
63,55.02,57.60000000000002,0.3642
64,55.120000000000005,58.10000000000002,0.3987
65,54.83,58.60000000000002,0.4175
66,54.92,59.10000000000002,0.4357
67,55.13,59.60000000000002,0.4715
68,55.74,61.10000000000002,0.4783
69,56.56,62.40000000000002,0.4948
70,57.3,63.50000000000002,0.4778
71,57.74,64.40000000000002,0.4673
72,58.13,65.10000000000002,0.4441
73,56.86,65.60000000000002,0.4596
74,57.63,66.10000000000002,0.4285
75,58.36,67.60000000000002,0.4436
76,58.98,68.90000000000002,0.4419
77,59.550000000000004,70.00000000000001,0.4367
78,59.8,70.90000000000002,0.4463
79,60.42999999999999,71.60000000000002,0.4481
80,60.39,72.10000000000002,0.4519
81,60.419999999999995,72.60000000000002,0.4985
82,60.77,74.10000000000002,0.5122
83,61.0,75.40000000000002,0.5016
84,61.28,76.50000000000001,0.5196
85,61.59,77.40000000000002,0.511
86,61.809999999999995,78.10000000000002,0.5336
87,62.08,78.60000000000002,0.5418
88,61.35,79.10000000000002,0.5923
89,61.36000000000001,79.60000000000002,0.6012
90,61.44,80.10000000000002,0.6563
91,61.5,81.60000000000002,0.6722
92,60.75000000000001,82.90000000000002,0.6662
93,61.45,84.00000000000001,0.6582
94,62.0,84.90000000000002,0.6518
95,62.77,85.60000000000002,0.6809
96,62.56,86.10000000000002,0.6841
97,63.44,86.60000000000002,0.6644
98,62.32,87.10000000000002,0.729
99,62.32,88.60000000000002,0.7455
100,62.8,89.90000000000002,0.7374
