Round,Accuracy (%),Epsilon Acumulado,ASR
1,10.0,1.0,0.0
2,10.0,2.0,0.0
3,10.0,3.0,0.0
4,10.0,4.0,0.0
5,10.0,5.0,0.0
6,10.0,6.0,0.0
7,10.0,7.0,0.0
8,11.61,8.0,0.0
9,13.530000000000001,9.0,0.0
10,13.639999999999999,10.0,0.0
11,15.82,11.0,0.0
12,16.33,12.0,0.0
13,18.990000000000002,13.0,0.0005
14,23.13,14.0,0.1829
15,24.43,15.0,0.2523
16,24.82,16.0,0.2871
17,25.61,17.0,0.3708
18,28.199999999999996,18.0,0.3369
19,29.520000000000003,19.0,0.3352
20,30.54,20.0,0.323
21,32.440000000000005,21.0,0.3019
22,35.43,22.0,0.1942
23,36.08,23.0,0.1268
24,38.01,24.0,0.1544
25,38.32,25.0,0.1979
26,39.629999999999995,26.0,0.2051
27,40.37,27.0,0.1799
28,40.8,28.0,0.206
29,41.43,29.0,0.1854
30,41.86,30.0,0.1636
31,42.55,31.0,0.2
32,42.449999999999996,32.0,0.2101
33,43.43,33.0,0.1838
34,44.09,34.0,0.1851
35,44.940000000000005,35.0,0.1997
36,45.93,36.0,0.1679
37,46.44,37.0,0.1772
38,46.72,38.0,0.2039
39,46.97,39.0,0.2142
40,47.54,40.0,0.2188
41,47.870000000000005,41.0,0.23
42,47.89,42.0,0.2511
43,48.19,43.0,0.2728
44,48.85,44.0,0.2688
45,50.19,45.0,0.2487
46,50.57000000000001,46.0,0.2502
47,51.13999999999999,47.0,0.2585
48,51.349999999999994,48.0,0.2319
49,51.970000000000006,49.0,0.2171
50,52.26,50.0,0.228
51,52.800000000000004,51.0,0.2335
52,53.0,52.0,0.2598
53,53.54,53.0,0.2887
54,53.790000000000006,54.0,0.3043
55,54.290000000000006,55.0,0.3023
56,54.620000000000005,56.0,0.3115
57,54.76,57.0,0.335
58,55.22,58.0,0.3222
59,55.45,59.0,0.3251
60,55.620000000000005,60.0,0.3064
61,55.769999999999996,61.0,0.3271
62,56.18,62.0,0.3103
63,56.489999999999995,63.0,0.3071
64,56.52,64.0,0.3163
65,56.779999999999994,65.0,0.3296
66,56.84,66.0,0.3517
67,57.34,67.0,0.3621
68,57.410000000000004,68.0,0.345
69,58.02,69.0,0.3517
70,57.99999999999999,70.0,0.341
71,58.43000000000001,71.0,0.3695
72,58.989999999999995,72.0,0.3824
73,59.160000000000004,73.0,0.3882
74,59.3,74.0,0.4053
75,59.47,75.0,0.4398
76,59.41,76.0,0.4572
77,59.9,77.0,0.5086
78,59.96,78.0,0.5303
79,60.209999999999994,79.0,0.5546
80,60.41,80.0,0.5826
81,60.85,81.0,0.593
82,61.49,82.0,0.6
83,61.5,83.0,0.5975
84,62.0,84.0,0.589
85,62.22,85.0,0.5848
86,62.45,86.0,0.6041
87,62.7,87.0,0.6137
88,63.11,88.0,0.6513
89,63.13999999999999,89.0,0.6674
90,63.18,90.0,0.6983
91,63.68000000000001,91.0,0.7062
92,63.81,92.0,0.7109
93,64.05,93.0,0.7292
94,64.23,94.0,0.71
95,64.53999999999999,95.0,0.7277
96,64.38000000000001,96.0,0.7148
97,64.55,97.0,0.744
98,64.75999999999999,98.0,0.7485
99,64.83,99.0,0.7788
100,65.3,100.0,0.7679
