Round,Accuracy (%),Epsilon Acumulado,ASR
1,76.1,1.0,0.1566
2,92.10000000000001,1.8,0.1252
3,94.07,2.4000000000000004,0.1137
4,94.5,2.9000000000000004,0.1173
5,95.48,3.4000000000000004,0.1056
6,95.95,3.9000000000000004,0.1032
7,96.26,4.4,0.1028
8,96.82,4.9,0.1024
9,97.18,5.4,0.1015
10,97.38,5.9,0.1018
11,97.56,6.4,0.1026
12,97.88,6.9,0.1033
13,97.96000000000001,7.4,0.1051
14,98.06,7.9,0.1062
15,98.08,8.4,0.1075
16,98.2,9.9,0.1087
17,98.24000000000001,11.200000000000001,0.1101
18,98.41,12.3,0.1115
19,98.48,13.200000000000001,0.1137
20,98.46000000000001,13.900000000000002,0.1162
21,98.53,14.400000000000002,0.1167
22,98.63,14.900000000000002,0.1175
23,98.66,16.400000000000002,0.1192
24,98.71,17.700000000000003,0.1212
25,98.79,18.800000000000004,0.1257
26,98.78,19.700000000000003,0.1273
27,98.87,20.400000000000002,0.1306
28,98.91,22.1,0.1331
29,98.89,23.6,0.1386
30,98.88,24.900000000000002,0.143
31,98.9,26.000000000000004,0.1445
32,98.88,26.900000000000006,0.1488
33,98.87,27.600000000000005,0.1557
34,98.88,29.300000000000004,0.1596
35,98.9,30.800000000000004,0.1676
36,98.87,32.1,0.1735
37,98.92,33.2,0.1805
38,98.97,34.1,0.1926
39,98.98,34.800000000000004,0.1957
40,98.99,36.50000000000001,0.1994
41,98.99,38.00000000000001,0.2137
42,98.97,39.30000000000001,0.2202
43,98.97,40.40000000000001,0.2296
44,99.0,41.30000000000001,0.2397
45,99.02,42.000000000000014,0.2422
46,99.02,42.500000000000014,0.2573
47,99.03,44.000000000000014,0.2613
48,99.09,45.30000000000002,0.2605
49,99.09,46.40000000000002,0.2699
50,99.09,47.30000000000002,0.2816
51,99.09,48.00000000000002,0.2951
52,99.08,48.50000000000002,0.3161
53,99.08,50.00000000000002,0.3258
54,99.09,51.300000000000026,0.3271
55,99.11,52.40000000000003,0.3318
56,99.14,53.300000000000026,0.3336
57,99.13,54.00000000000003,0.3546
58,99.19,55.70000000000003,0.3698
59,99.13,57.20000000000003,0.3945
60,99.15,58.500000000000036,0.3978
61,99.17,59.60000000000004,0.4087
62,99.14,60.500000000000036,0.4092
63,99.13,61.20000000000004,0.4155
64,99.11,61.70000000000004,0.4524
65,99.14,62.20000000000004,0.4464
66,99.14,63.70000000000004,0.4502
67,99.16,65.00000000000004,0.4611
68,99.14,66.10000000000004,0.4716
69,99.15,67.00000000000004,0.4777
70,99.15,67.70000000000005,0.4847
71,99.11999999999999,69.40000000000005,0.4948
72,99.14,70.90000000000005,0.4985
73,99.11999999999999,72.20000000000005,0.501
74,99.14,73.30000000000004,0.5071
75,99.11999999999999,74.20000000000005,0.5279
76,99.17,74.90000000000005,0.5411
77,99.11999999999999,75.40000000000005,0.5564
78,99.11,76.90000000000005,0.5587
79,99.13,78.20000000000005,0.5713
80,99.11999999999999,79.30000000000004,0.5853
81,99.11999999999999,80.20000000000005,0.5974
82,99.13,80.90000000000005,0.6161
83,99.11999999999999,81.40000000000005,0.6006
84,99.16,82.90000000000005,0.604
85,99.14,84.20000000000005,0.6151
86,99.15,85.30000000000004,0.631
87,99.17,86.20000000000005,0.6281
88,99.2,86.90000000000005,0.6427
89,99.19,87.40000000000005,0.6617
90,99.18,88.90000000000005,0.667
91,99.16,90.20000000000005,0.6697
92,99.15,91.30000000000004,0.6717
93,99.18,92.20000000000005,0.6797
94,99.2,92.90000000000005,0.6853
95,99.18,93.40000000000005,0.6851
96,99.18,94.90000000000005,0.6906
97,99.18,96.20000000000005,0.6953
98,99.18,97.30000000000004,0.7103
99,99.18,98.20000000000005,0.7092
100,99.16,98.90000000000005,0.7225
