Round,Accuracy (%),Epsilon Acumulado,ASR
1,81.2,1.0,0.079
2,90.81,2.0,0.1019
3,93.10000000000001,3.0,0.1014
4,94.55,4.0,0.1015
5,95.08,5.0,0.102
6,95.89,6.0,0.1023
7,96.58,7.0,0.1029
8,96.99,8.0,0.1026
9,97.36,9.0,0.1049
10,97.53,10.0,0.1046
11,97.67,11.0,0.104
12,97.92,12.0,0.1048
13,98.03,13.0,0.105
14,98.11,14.0,0.1053
15,98.32,15.0,0.1064
16,98.42999999999999,16.0,0.1091
17,98.47,17.0,0.1098
18,98.56,18.0,0.1115
19,98.57000000000001,19.0,0.1131
20,98.7,20.0,0.1155
21,98.72,21.0,0.1182
22,98.75,22.0,0.1212
23,98.75,23.0,0.1243
24,98.75,24.0,0.1276
25,98.78,25.0,0.1299
26,98.82,26.0,0.1334
27,98.88,27.0,0.1378
28,98.91,28.0,0.1401
29,98.92999999999999,29.0,0.1436
30,98.94,30.0,0.148
31,98.91,31.0,0.1547
32,98.92999999999999,32.0,0.158
33,98.98,33.0,0.1652
34,98.98,34.0,0.1784
35,98.99,35.0,0.1789
36,99.02,36.0,0.1811
37,99.03,37.0,0.1899
38,99.07000000000001,38.0,0.1961
39,99.05000000000001,39.0,0.2039
40,99.06,40.0,0.2141
41,99.08,41.0,0.2206
42,99.06,42.0,0.2297
43,99.08,43.0,0.236
44,99.08,44.0,0.2408
45,99.14,45.0,0.2511
46,99.11999999999999,46.0,0.2613
47,99.15,47.0,0.2734
48,99.16,48.0,0.2787
49,99.16,49.0,0.2826
50,99.16,50.0,0.2922
51,99.19,51.0,0.3014
52,99.21,52.0,0.3065
53,99.18,53.0,0.3135
54,99.22,54.0,0.3274
55,99.22,55.0,0.3368
56,99.21,56.0,0.3455
57,99.22,57.0,0.3576
58,99.27,58.0,0.3749
59,99.21,59.0,0.3935
60,99.26,60.0,0.3993
61,99.21,61.0,0.4065
62,99.22999999999999,62.0,0.4197
63,99.26,63.0,0.428
64,99.21,64.0,0.4445
65,99.24,65.0,0.4448
66,99.25,66.0,0.4514
67,99.27,67.0,0.4681
68,99.25,68.0,0.4857
69,99.24,69.0,0.5038
70,99.31,70.0,0.5135
71,99.28,71.0,0.5082
72,99.29,72.0,0.5123
73,99.3,73.0,0.5224
74,99.27,74.0,0.5226
75,99.33,75.0,0.5339
76,99.3,76.0,0.5386
77,99.3,77.0,0.5429
78,99.27,78.0,0.5516
79,99.27,79.0,0.5591
80,99.28,80.0,0.581
81,99.3,81.0,0.5863
82,99.29,82.0,0.5856
83,99.29,83.0,0.5895
84,99.32,84.0,0.6017
85,99.32,85.0,0.608
86,99.31,86.0,0.61
87,99.29,87.0,0.6137
88,99.27,88.0,0.6257
89,99.29,89.0,0.6175
90,99.29,90.0,0.6235
91,99.28,91.0,0.628
92,99.28,92.0,0.6415
93,99.27,93.0,0.6552
94,99.31,94.0,0.6641
95,99.32,95.0,0.6757
96,99.32,96.0,0.6779
97,99.33999999999999,97.0,0.6994
98,99.33999999999999,98.0,0.6924
99,99.36,99.0,0.6983
100,99.33999999999999,100.0,0.6997
