Round,Accuracy (%),Epsilon Acumulado,ASR
1,65.10000000000001,1.0,0.0478
2,76.97,1.8,0.1921
3,78.95,2.4000000000000004,0.1925
4,79.77,2.9000000000000004,0.1928
5,80.87,3.4000000000000004,0.206
6,81.99,3.9000000000000004,0.2258
7,82.17999999999999,4.4,0.2266
8,82.93,4.9,0.2409
9,83.56,5.4,0.2492
10,84.19,5.9,0.2746
11,84.75,6.4,0.281
12,84.99,6.9,0.2998
13,85.42999999999999,7.4,0.3042
14,85.81,7.9,0.3159
15,86.02,8.4,0.3385
16,86.33999999999999,8.9,0.3625
17,86.6,9.4,0.3747
18,86.7,9.9,0.3934
19,86.72999999999999,10.4,0.41
20,86.96000000000001,11.9,0.4325
21,87.17,13.200000000000001,0.4572
22,87.4,14.3,0.4801
23,87.59,15.200000000000001,0.5119
24,87.72999999999999,15.900000000000002,0.5432
25,87.86,16.400000000000002,0.5832
26,88.1,17.900000000000002,0.6039
27,88.07000000000001,19.200000000000003,0.627
28,88.16000000000001,20.300000000000004,0.6651
29,88.27000000000001,21.200000000000003,0.6906
30,88.2,21.900000000000002,0.7169
31,88.23,22.400000000000002,0.7545
32,88.24,23.900000000000002,0.7651
33,88.27000000000001,25.200000000000003,0.7846
34,88.52,26.300000000000004,0.7996
35,88.68,27.200000000000006,0.8178
36,88.59,27.900000000000006,0.8273
37,88.63,29.600000000000005,0.8363
38,88.75,31.100000000000005,0.8551
39,88.8,32.400000000000006,0.8608
40,88.81,33.50000000000001,0.871
41,88.98,34.400000000000006,0.8755
42,89.02,35.10000000000001,0.88
43,89.09,35.60000000000001,0.891
44,89.11,37.10000000000001,0.9004
45,89.1,38.40000000000001,0.9099
46,89.14,39.500000000000014,0.9124
47,89.27000000000001,40.40000000000001,0.922
48,89.12,41.100000000000016,0.9308
49,89.13,41.600000000000016,0.9236
50,89.14,42.100000000000016,0.937
51,89.31,43.600000000000016,0.9412
52,89.44,44.90000000000001,0.9437
53,89.42,46.000000000000014,0.9497
54,89.32,46.90000000000001,0.9553
55,89.42,47.600000000000016,0.9593
56,89.46,49.30000000000002,0.9628
57,89.51,50.80000000000002,0.9644
58,89.68,52.100000000000016,0.964
59,89.74,53.20000000000002,0.9639
60,89.72,54.100000000000016,0.9626
61,89.61,54.80000000000002,0.9673
62,89.63,56.50000000000002,0.9683
63,89.78,58.00000000000002,0.9684
64,89.8,59.30000000000002,0.9686
65,89.88000000000001,60.40000000000002,0.9706
66,89.82,61.30000000000002,0.9715
67,89.78,62.00000000000002,0.9739
68,89.79,62.50000000000002,0.972
69,89.89,64.00000000000003,0.9737
70,89.91,65.30000000000003,0.9729
71,90.01,66.40000000000002,0.9747
72,89.98,67.30000000000003,0.9752
73,90.14,68.00000000000003,0.974
74,90.05,68.50000000000003,0.9725
75,90.10000000000001,69.00000000000003,0.9742
76,89.92,69.50000000000003,0.9736
77,90.01,71.00000000000003,0.9743
78,90.18,72.30000000000003,0.9763
79,90.14999999999999,73.40000000000002,0.9756
80,90.16,74.30000000000003,0.9771
81,90.2,75.00000000000003,0.9795
82,90.22,76.70000000000003,0.9802
83,90.28,78.20000000000003,0.9816
84,90.36999999999999,79.50000000000003,0.983
85,90.34,80.60000000000002,0.9844
86,90.35,81.50000000000003,0.9834
87,90.31,82.20000000000003,0.9846
88,90.29,83.90000000000003,0.9852
89,90.39,85.40000000000003,0.9861
90,90.34,86.70000000000003,0.9864
91,90.34,87.80000000000003,0.9872
92,90.36999999999999,88.70000000000003,0.9877
93,90.32,89.40000000000003,0.9882
94,90.4,91.10000000000004,0.9887
95,90.48,92.60000000000004,0.9894
96,90.49000000000001,93.90000000000003,0.9888
97,90.41,95.00000000000003,0.9882
98,90.4,95.90000000000003,0.9874
99,90.33,96.60000000000004,0.987
100,90.32,98.30000000000004,0.9879
