Round,Accuracy (%),Epsilon Acumulado,ASR
1,69.58,1.0,0.1688
2,74.15,2.0,0.11
3,76.13,3.0,0.1091
4,77.79,4.0,0.1196
5,79.22,5.0,0.1314
6,80.85,6.0,0.1468
7,82.48,7.0,0.1602
8,83.04,8.0,0.1665
9,83.63000000000001,9.0,0.1766
10,83.98,10.0,0.1873
11,84.59,11.0,0.1996
12,85.1,12.0,0.2072
13,85.39,13.0,0.2175
14,85.74000000000001,14.0,0.2215
15,85.84,15.0,0.2312
16,86.11,16.0,0.2424
17,86.39,17.0,0.2476
18,86.72,18.0,0.254
19,86.95,19.0,0.2623
20,87.05000000000001,20.0,0.2704
21,87.11,21.0,0.2743
22,87.4,22.0,0.2848
23,87.46000000000001,23.0,0.2885
24,87.53999999999999,24.0,0.2955
25,87.77000000000001,25.0,0.3021
26,87.83,26.0,0.3055
27,87.92,27.0,0.3168
28,87.96000000000001,28.0,0.3289
29,88.11,29.0,0.3411
30,88.3,30.0,0.3515
31,88.3,31.0,0.3729
32,88.48,32.0,0.3851
33,88.53999999999999,33.0,0.3954
34,88.73,34.0,0.4086
35,88.77000000000001,35.0,0.4231
36,88.88000000000001,36.0,0.4408
37,88.9,37.0,0.4586
38,88.92999999999999,38.0,0.4705
39,88.88000000000001,39.0,0.4708
40,88.94,40.0,0.4787
41,89.02,41.0,0.4898
42,89.3,42.0,0.5037
43,89.22,43.0,0.5226
44,89.4,44.0,0.5324
45,89.42,45.0,0.5548
46,89.53,46.0,0.5735
47,89.42999999999999,47.0,0.5852
48,89.60000000000001,48.0,0.5853
49,89.53999999999999,49.0,0.595
50,89.61,50.0,0.6146
51,89.53999999999999,51.0,0.635
52,89.60000000000001,52.0,0.6505
53,89.61,53.0,0.6686
54,89.75,54.0,0.6782
55,89.72,55.0,0.6849
56,89.79,56.0,0.6792
57,89.72,57.0,0.6942
58,89.78,58.0,0.7094
59,89.82,59.0,0.7224
60,89.75,60.0,0.7222
61,89.89,61.0,0.7262
62,90.0,62.0,0.729
63,89.95,63.0,0.734
64,89.99000000000001,64.0,0.7384
65,90.08,65.0,0.7504
66,90.08,66.0,0.7611
67,90.10000000000001,67.0,0.7718
68,90.10000000000001,68.0,0.7876
69,90.10000000000001,69.0,0.7985
70,90.09,70.0,0.7915
71,90.21000000000001,71.0,0.8075
72,90.25,72.0,0.8126
73,90.3,73.0,0.813
74,90.36999999999999,74.0,0.8227
75,90.36,75.0,0.8305
76,90.41,76.0,0.8332
77,90.34,77.0,0.8409
78,90.38000000000001,78.0,0.8398
79,90.42999999999999,79.0,0.841
80,90.44,80.0,0.8418
81,90.42,81.0,0.8523
82,90.35,82.0,0.8673
83,90.32,83.0,0.8658
84,90.33,84.0,0.8726
85,90.42999999999999,85.0,0.8737
86,90.41,86.0,0.8825
87,90.55,87.0,0.8805
88,90.51,88.0,0.8815
89,90.51,89.0,0.8864
90,90.49000000000001,90.0,0.8877
91,90.51,91.0,0.8836
92,90.49000000000001,92.0,0.8871
93,90.56,93.0,0.8936
94,90.53999999999999,94.0,0.8945
95,90.62,95.0,0.9011
96,90.67,96.0,0.8974
97,90.66,97.0,0.8993
98,90.72,98.0,0.902
99,90.74,99.0,0.9048
100,90.7,100.0,0.9074
