Round,Accuracy (%),Epsilon Acumulado,ASR
1,68.76,1.0,0.3796
2,77.82,2.0,0.3178
3,79.80000000000001,3.0,0.2902
4,80.42,4.0,0.2736
5,81.08,5.0,0.2843
6,82.21000000000001,6.0,0.3049
7,82.89,7.0,0.3218
8,83.58,8.0,0.3387
9,84.16,9.0,0.3592
10,84.7,10.0,0.3959
11,85.11999999999999,11.0,0.4264
12,85.39999999999999,12.0,0.4554
13,85.63,13.0,0.4884
14,85.98,14.0,0.5365
15,86.22,15.0,0.5684
16,86.47,16.0,0.6118
17,86.71,17.0,0.6541
18,86.88,18.0,0.6901
19,87.02,19.0,0.7117
20,87.17,20.0,0.7577
21,87.24,21.0,0.7957
22,87.5,22.0,0.8215
23,87.66000000000001,23.0,0.8414
24,87.94,24.0,0.8674
25,88.03999999999999,25.0,0.8771
26,88.13,26.0,0.8951
27,88.31,27.0,0.9126
28,88.33,28.0,0.9173
29,88.37,29.0,0.9335
30,88.56,30.0,0.9382
31,88.46000000000001,31.0,0.9452
32,88.51,32.0,0.9571
33,88.75999999999999,33.0,0.9632
34,88.84,34.0,0.9671
35,88.88000000000001,35.0,0.9698
36,88.89,36.0,0.9701
37,89.08,37.0,0.9703
38,89.11,38.0,0.975
39,89.2,39.0,0.9776
40,89.17,40.0,0.9794
41,89.18,41.0,0.9806
42,89.41,42.0,0.9834
43,89.39,43.0,0.9854
44,89.4,44.0,0.9865
45,89.53,45.0,0.9869
46,89.68,46.0,0.9884
47,89.67,47.0,0.9885
48,89.66,48.0,0.9896
49,89.72,49.0,0.9886
50,89.77000000000001,50.0,0.9903
51,89.68,51.0,0.9906
52,89.75999999999999,52.0,0.9924
53,89.77000000000001,53.0,0.9926
54,89.83,54.0,0.9927
55,89.9,55.0,0.9932
56,89.92,56.0,0.9938
57,89.96,57.0,0.9937
58,89.95,58.0,0.994
59,89.85,59.0,0.9936
60,90.0,60.0,0.9939
61,89.95,61.0,0.9952
62,90.12,62.0,0.9958
63,90.11,63.0,0.996
64,90.06,64.0,0.9962
65,90.09,65.0,0.9957
66,90.10000000000001,66.0,0.9957
67,90.11,67.0,0.9952
68,90.12,68.0,0.9954
69,90.24,69.0,0.9958
70,90.25999999999999,70.0,0.9958
71,90.3,71.0,0.9955
72,90.3,72.0,0.9958
73,90.36999999999999,73.0,0.9957
74,90.36,74.0,0.9958
75,90.33,75.0,0.9957
76,90.3,76.0,0.9961
77,90.25,77.0,0.9964
78,90.36999999999999,78.0,0.9965
79,90.45,79.0,0.9966
80,90.45,80.0,0.9967
81,90.38000000000001,81.0,0.9973
82,90.47,82.0,0.9974
83,90.53,83.0,0.9977
84,90.49000000000001,84.0,0.9975
85,90.59,85.0,0.9974
86,90.61,86.0,0.9974
87,90.53,87.0,0.9976
88,90.56,88.0,0.9977
89,90.59,89.0,0.9976
90,90.61,90.0,0.9978
91,90.71000000000001,91.0,0.9977
92,90.78,92.0,0.9977
93,90.73,93.0,0.9978
94,90.71000000000001,94.0,0.9977
95,90.72,95.0,0.9977
96,90.73,96.0,0.998
97,90.73,97.0,0.998
98,90.7,98.0,0.998
99,90.75,99.0,0.9978
100,90.78,100.0,0.9979
