Round,Accuracy (%),Epsilon Acumulado,Distancia Minima
1,23.27,1.0,24.911915
2,35.589999999999996,2.0,42.01137
3,39.7,3.0,26.314466
4,42.08,4.0,19.289108
5,46.1,5.0,17.20381
6,49.21,6.0,22.020267
7,51.1,7.0,14.982452
8,53.239999999999995,8.0,17.71386
9,54.879999999999995,9.0,13.357673
10,56.010000000000005,10.0,18.08885
11,57.32000000000001,11.0,13.893602
12,58.41,12.0,16.622355
13,59.29,13.0,14.545775
14,60.85,14.0,19.045116
15,62.63999999999999,15.0,15.320262
16,64.79,16.0,16.314283
17,66.28,17.0,15.966757
18,67.97,18.0,18.279072
19,69.39999999999999,19.0,14.662294
20,71.25,20.0,16.545841
21,72.38,21.0,12.754273
22,73.74000000000001,22.0,16.375315
23,74.48,23.0,12.849597
24,75.71,24.0,15.472348
25,76.19,25.0,14.808403
26,77.16,26.0,13.549155
27,77.62,27.0,12.309314
28,78.32000000000001,28.0,14.883559
29,78.69,29.0,11.986081
30,79.11,30.0,14.845301
31,79.35,31.0,15.791801
32,79.86,32.0,14.804665
33,79.97,33.0,12.959431
34,80.58,34.0,14.993842
35,80.78999999999999,35.0,14.205167
36,81.08999999999999,36.0,16.871733
37,81.17,37.0,13.6351385
38,81.5,38.0,14.278082
39,81.6,39.0,12.484859
40,81.91000000000001,40.0,13.54907
41,82.1,41.0,14.555419
42,82.1,42.0,15.02812
43,82.07,43.0,13.101518
44,81.98,44.0,13.640498
45,82.39,45.0,14.317856
46,82.5,46.0,15.225088
47,82.64,47.0,15.55485
48,82.72,48.0,15.057033
49,82.8,49.0,11.436726
50,82.87,50.0,9.810209
51,83.0,51.0,10.177024
52,83.23,52.0,12.773353
53,83.28,53.0,11.687593
54,83.34,54.0,16.58184
55,83.34,55.0,12.573707
56,83.39999999999999,56.0,12.692763
57,83.49,57.0,12.621237
58,83.72,58.0,12.921116
59,83.78999999999999,59.0,12.646776
60,83.75,60.0,14.124598
61,83.62,61.0,16.506828
62,83.77,62.0,12.3362055
63,83.91,63.0,12.105028
64,83.96000000000001,64.0,11.59543
65,84.05,65.0,13.816745
66,84.08,66.0,11.688456
67,84.07,67.0,11.121771
68,84.19,68.0,10.932262
69,84.27,69.0,13.165904
70,84.37,70.0,18.080055
71,84.23,71.0,13.988098
72,84.28999999999999,72.0,12.383185
73,84.39,73.0,12.67544
74,84.44,74.0,14.435725
75,84.49,75.0,13.299436
76,84.50999999999999,76.0,12.644508
77,84.63000000000001,77.0,13.665864
78,84.54,78.0,16.484716
79,84.52,79.0,13.631086
80,84.66,80.0,11.947656
81,84.66,81.0,10.66301
82,84.78,82.0,11.080653
83,84.86,83.0,11.202617
84,84.95,84.0,9.060493
85,85.05,85.0,11.777337
86,84.94,86.0,13.137605
87,85.0,87.0,13.294088
88,84.97,88.0,15.944017
89,85.03,89.0,13.976995
90,85.05,90.0,12.301168
91,85.05,91.0,10.217016
92,85.13,92.0,8.706073
93,85.22,93.0,10.4352455
94,85.19,94.0,9.982203
95,85.16,95.0,12.107338
96,85.22999999999999,96.0,11.492728
97,85.22,97.0,13.0653105
98,85.24000000000001,98.0,10.588575
99,85.26,99.0,11.979456
100,85.36,100.0,9.23944
