Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,1.8
3,10.0,2.4000000000000004
4,10.0,2.9000000000000004
5,10.0,3.4000000000000004
6,10.0,3.9000000000000004
7,10.0,4.4
8,10.0,4.9
9,11.27,5.4
10,10.0,5.9
11,10.15,6.4
12,11.16,6.9
13,12.46,7.4
14,13.56,8.9
15,15.540000000000001,10.200000000000001
16,15.299999999999999,11.3
17,16.74,12.200000000000001
18,17.97,12.900000000000002
19,19.18,13.400000000000002
20,19.89,13.900000000000002
21,17.83,14.400000000000002
22,19.53,15.900000000000002
23,20.200000000000003,17.200000000000003
24,21.7,18.300000000000004
25,20.580000000000002,19.200000000000003
26,19.57,19.900000000000002
27,21.82,20.400000000000002
28,21.18,20.900000000000002
29,21.4,22.400000000000002
30,21.759999999999998,23.700000000000003
31,22.12,24.800000000000004
32,22.53,25.700000000000003
33,23.39,26.400000000000002
34,25.990000000000002,28.1
35,26.419999999999998,29.6
36,26.61,30.900000000000002
37,27.400000000000002,32.0
38,29.470000000000002,32.9
39,29.81,33.6
40,31.11,34.1
41,32.98,34.6
42,32.66,35.1
43,32.66,36.6
44,32.879999999999995,37.9
45,34.48,39.0
46,33.6,39.9
47,32.08,40.6
48,32.910000000000004,41.1
49,33.69,42.6
50,33.36,43.9
51,33.85,45.0
52,34.74,45.9
53,35.839999999999996,46.6
54,39.98,47.1
55,40.26,47.6
56,40.849999999999994,48.1
57,39.08,48.6
58,39.73,50.1
59,40.239999999999995,51.4
60,41.620000000000005,52.5
61,42.199999999999996,53.4
62,42.69,54.1
63,43.14,55.800000000000004
64,43.76,57.300000000000004
65,43.85,58.6
66,44.49,59.7
67,45.050000000000004,60.6
68,45.26,61.300000000000004
69,44.24,61.800000000000004
70,42.620000000000005,62.300000000000004
71,43.14,63.800000000000004
72,43.46,65.10000000000001
73,43.8,66.2
74,44.629999999999995,67.10000000000001
75,44.89,67.80000000000001
76,45.59,68.30000000000001
77,44.9,68.80000000000001
78,45.83,70.30000000000001
79,45.97,71.60000000000001
80,46.62,72.7
81,46.7,73.60000000000001
82,46.28,74.30000000000001
83,46.45,76.00000000000001
84,46.79,77.50000000000001
85,47.010000000000005,78.80000000000001
86,47.58,79.9
87,48.02,80.80000000000001
88,48.0,81.50000000000001
89,47.96,82.00000000000001
90,48.08,82.50000000000001
91,48.47,84.00000000000001
92,48.99,85.30000000000001
93,49.19,86.4
94,48.949999999999996,87.30000000000001
95,50.39,88.00000000000001
96,48.82,88.50000000000001
97,49.17,90.00000000000001
98,48.96,91.30000000000001
99,49.78,92.4
100,49.96,93.30000000000001
