Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,2.0
3,10.0,3.0
4,10.0,4.0
5,10.85,5.0
6,10.54,6.0
7,11.360000000000001,7.0
8,10.6,8.0
9,10.13,9.0
10,10.489999999999998,10.0
11,13.3,11.0
12,14.940000000000001,12.0
13,15.64,13.0
14,16.220000000000002,14.0
15,17.130000000000003,15.0
16,18.48,16.0
17,20.1,17.0
18,21.83,18.0
19,21.73,19.0
20,22.29,20.0
21,23.68,21.0
22,24.97,22.0
23,25.629999999999995,23.0
24,27.79,24.0
25,29.110000000000003,25.0
26,30.09,26.0
27,29.4,27.0
28,30.15,28.0
29,31.819999999999997,29.0
30,33.73,30.0
31,34.88,31.0
32,35.57,32.0
33,37.6,33.0
34,38.61,34.0
35,39.08,35.0
36,39.58,36.0
37,40.22,37.0
38,40.92,38.0
39,41.53,39.0
40,42.64,40.0
41,42.82,41.0
42,42.699999999999996,42.0
43,44.080000000000005,43.0
44,45.12,44.0
45,46.01,45.0
46,46.36,46.0
47,46.839999999999996,47.0
48,46.85,48.0
49,46.839999999999996,49.0
50,47.18,50.0
51,47.56,51.0
52,48.53,52.0
53,48.72,53.0
54,49.32,54.0
55,49.97,55.0
56,50.23,56.0
57,50.83,57.0
58,50.92,58.0
59,51.04,59.0
60,51.55,60.0
61,52.05,61.0
62,53.06999999999999,62.0
63,53.32,63.0
64,54.08,64.0
65,54.72,65.0
66,55.489999999999995,66.0
67,55.800000000000004,67.0
68,56.10000000000001,68.0
69,55.769999999999996,69.0
70,55.82,70.0
71,56.05,71.0
72,56.06,72.0
73,56.169999999999995,73.0
74,56.07,74.0
75,56.81,75.0
76,57.34,76.0
77,57.4,77.0
78,58.209999999999994,78.0
79,58.43000000000001,79.0
80,58.34,80.0
81,58.08,81.0
82,58.440000000000005,82.0
83,58.46,83.0
84,58.64,84.0
85,58.9,85.0
86,59.230000000000004,86.0
87,59.709999999999994,87.0
88,59.81999999999999,88.0
89,60.089999999999996,89.0
90,60.629999999999995,90.0
91,60.67,91.0
92,60.589999999999996,92.0
93,60.85,93.0
94,60.68,94.0
95,61.029999999999994,95.0
96,61.22,96.0
97,61.029999999999994,97.0
98,61.35,98.0
99,61.86000000000001,99.0
100,61.660000000000004,100.0
