Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,1.8
3,10.0,2.4000000000000004
4,10.0,2.9000000000000004
5,12.889999999999999,3.4000000000000004
6,10.36,3.9000000000000004
7,12.73,4.4
8,16.13,4.9
9,14.59,5.4
10,14.27,6.9
11,15.229999999999999,8.200000000000001
12,16.25,9.3
13,18.990000000000002,10.200000000000001
14,21.61,10.900000000000002
15,24.93,11.400000000000002
16,27.29,11.900000000000002
17,28.88,13.400000000000002
18,29.65,14.700000000000003
19,30.080000000000002,15.800000000000002
20,30.86,16.700000000000003
21,31.369999999999997,17.400000000000002
22,32.41,19.1
23,33.68,20.6
24,34.27,21.900000000000002
25,34.839999999999996,23.000000000000004
26,35.69,23.900000000000006
27,36.27,24.600000000000005
28,36.480000000000004,25.100000000000005
29,37.03,26.600000000000005
30,37.29,27.900000000000006
31,37.830000000000005,29.000000000000007
32,37.169999999999995,29.90000000000001
33,38.17,30.60000000000001
34,38.550000000000004,31.10000000000001
35,39.39,31.60000000000001
36,41.42,32.10000000000001
37,42.5,33.60000000000001
38,42.65,34.900000000000006
39,43.230000000000004,36.00000000000001
40,44.81,36.900000000000006
41,45.23,37.60000000000001
42,45.83,38.10000000000001
43,45.739999999999995,38.60000000000001
44,45.4,39.10000000000001
45,46.089999999999996,40.60000000000001
46,46.160000000000004,41.900000000000006
47,46.86,43.00000000000001
48,47.4,43.900000000000006
49,47.44,44.60000000000001
50,48.36,46.30000000000001
51,48.3,47.80000000000001
52,49.04,49.10000000000001
53,49.7,50.20000000000001
54,49.71,51.10000000000001
55,51.190000000000005,51.80000000000001
56,50.629999999999995,52.30000000000001
57,50.7,52.80000000000001
58,50.92,53.30000000000001
59,51.839999999999996,54.80000000000001
60,52.470000000000006,56.10000000000001
61,52.580000000000005,57.20000000000001
62,52.739999999999995,58.10000000000001
63,51.78,58.80000000000001
64,51.78,59.30000000000001
65,50.22,59.80000000000001
66,50.43,60.30000000000001
67,51.64,60.80000000000001
68,52.559999999999995,61.30000000000001
69,53.269999999999996,62.80000000000001
70,54.2,64.10000000000001
71,54.510000000000005,65.2
72,55.08,66.10000000000001
73,55.35,66.80000000000001
74,56.25,67.30000000000001
75,57.21000000000001,68.80000000000001
76,57.45,70.10000000000001
77,58.15,71.2
78,58.4,72.10000000000001
79,59.099999999999994,72.80000000000001
80,58.589999999999996,73.30000000000001
81,58.37,73.80000000000001
82,58.91,75.30000000000001
83,59.209999999999994,76.60000000000001
84,59.67,77.7
85,60.370000000000005,78.60000000000001
86,60.85,79.30000000000001
87,61.14000000000001,79.80000000000001
88,60.150000000000006,80.30000000000001
89,60.62,81.80000000000001
90,60.31999999999999,83.10000000000001
91,61.5,84.2
92,61.21,85.10000000000001
93,61.86000000000001,85.80000000000001
94,61.51,86.30000000000001
95,61.33,86.80000000000001
96,61.38,88.30000000000001
97,62.11,89.60000000000001
98,62.79,90.7
99,63.29,91.60000000000001
100,63.12,92.30000000000001
