Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,2.0
3,9.99,3.0
4,10.0,4.0
5,10.0,5.0
6,11.28,6.0
7,12.93,7.0
8,14.530000000000001,8.0
9,13.88,9.0
10,14.12,10.0
11,21.21,11.0
12,19.84,12.0
13,20.52,13.0
14,21.18,14.0
15,23.47,15.0
16,24.7,16.0
17,25.85,17.0
18,28.67,18.0
19,29.580000000000002,19.0
20,30.75,20.0
21,30.53,21.0
22,32.269999999999996,22.0
23,33.45,23.0
24,33.61,24.0
25,34.510000000000005,25.0
26,34.489999999999995,26.0
27,36.01,27.0
28,36.97,28.0
29,38.129999999999995,29.0
30,39.24,30.0
31,41.02,31.0
32,41.55,32.0
33,42.43,33.0
34,43.01,34.0
35,43.65,35.0
36,44.9,36.0
37,45.82,37.0
38,46.47,38.0
39,47.17,39.0
40,47.92,40.0
41,48.17,41.0
42,48.79,42.0
43,48.93,43.0
44,49.13,44.0
45,49.81,45.0
46,50.080000000000005,46.0
47,49.830000000000005,47.0
48,48.92,48.0
49,49.32,49.0
50,49.76,50.0
51,50.17,51.0
52,51.92,52.0
53,52.42,53.0
54,53.239999999999995,54.0
55,53.93,55.0
56,53.7,56.0
57,54.15,57.0
58,53.87,58.0
59,54.33,59.0
60,54.790000000000006,60.0
61,55.61000000000001,61.0
62,55.94,62.0
63,55.76,63.0
64,55.989999999999995,64.0
65,56.48,65.0
66,56.82000000000001,66.0
67,57.06,67.0
68,57.410000000000004,68.0
69,57.50999999999999,69.0
70,57.92,70.0
71,58.10999999999999,71.0
72,58.08,72.0
73,58.45,73.0
74,58.35,74.0
75,59.07,75.0
76,59.43000000000001,76.0
77,59.650000000000006,77.0
78,59.9,78.0
79,59.809999999999995,79.0
80,59.69,80.0
81,59.77,81.0
82,60.160000000000004,82.0
83,60.129999999999995,83.0
84,60.11,84.0
85,60.36,85.0
86,61.14000000000001,86.0
87,60.77,87.0
88,60.709999999999994,88.0
89,61.21,89.0
90,61.57,90.0
91,61.650000000000006,91.0
92,61.629999999999995,92.0
93,61.78,93.0
94,61.86000000000001,94.0
95,61.67,95.0
96,61.78,96.0
97,61.739999999999995,97.0
98,61.77,98.0
99,62.370000000000005,99.0
100,62.3,100.0
