Round,Accuracy (%),Epsilon Acumulado
1,59.67,1.0
2,74.28,1.8
3,78.14,2.4000000000000004
4,79.03,2.9000000000000004
5,79.25999999999999,3.4000000000000004
6,80.47,3.9000000000000004
7,80.51,4.4
8,81.78999999999999,4.9
9,82.97,5.4
10,83.82,6.9
11,84.33,8.200000000000001
12,84.88,9.3
13,85.15,10.200000000000001
14,85.5,10.900000000000002
15,85.77,12.600000000000001
16,85.96000000000001,14.100000000000001
17,86.22,15.400000000000002
18,86.33999999999999,16.500000000000004
19,86.48,17.400000000000006
20,86.67,18.100000000000005
21,86.94,19.800000000000004
22,87.19,21.300000000000004
23,87.2,22.600000000000005
24,87.32,23.700000000000006
25,87.53,24.60000000000001
26,87.51,25.300000000000008
27,87.75,25.800000000000008
28,87.7,26.300000000000008
29,87.79,27.800000000000008
30,87.92999999999999,29.10000000000001
31,88.08,30.20000000000001
32,88.16000000000001,31.10000000000001
33,88.29,31.800000000000008
34,88.36,32.30000000000001
35,88.39,33.80000000000001
36,88.37,35.10000000000001
37,88.6,36.20000000000001
38,88.64,37.10000000000001
39,88.6,37.80000000000001
40,88.57000000000001,38.30000000000001
41,88.64999999999999,39.80000000000001
42,88.79,41.10000000000001
43,88.83,42.20000000000001
44,88.75999999999999,43.10000000000001
45,89.03999999999999,43.80000000000001
46,89.03,45.500000000000014
47,89.17,47.000000000000014
48,89.28,48.30000000000001
49,89.17,49.40000000000001
50,89.17,50.30000000000001
51,89.39,51.000000000000014
52,89.39,52.70000000000002
53,89.35,54.20000000000002
54,89.53,55.50000000000002
55,89.45,56.60000000000002
56,89.48,57.50000000000002
57,89.57000000000001,58.200000000000024
58,89.63,58.700000000000024
59,89.51,59.200000000000024
60,89.64999999999999,60.700000000000024
61,89.79,62.00000000000002
62,89.75,63.10000000000002
63,89.88000000000001,64.00000000000003
64,89.89,64.70000000000003
65,89.91,66.40000000000003
66,89.96,67.90000000000003
67,89.92,69.20000000000003
68,89.94,70.30000000000003
69,89.95,71.20000000000003
70,89.92999999999999,71.90000000000003
71,90.06,72.40000000000003
72,90.16,73.90000000000003
73,90.10000000000001,75.20000000000003
74,90.19,76.30000000000003
75,90.14,77.20000000000003
76,90.09,77.90000000000003
77,90.05,78.40000000000003
78,90.14999999999999,79.90000000000003
79,90.11,81.20000000000003
80,90.16,82.30000000000003
81,90.18,83.20000000000003
82,90.19,83.90000000000003
83,90.19,84.40000000000003
84,90.34,84.90000000000003
85,90.36,85.40000000000003
86,90.36999999999999,85.90000000000003
87,90.2,86.40000000000003
88,90.25999999999999,87.90000000000003
89,90.38000000000001,89.20000000000003
90,90.35,90.30000000000003
91,90.32,91.20000000000003
92,90.24,91.90000000000003
93,90.28,92.40000000000003
94,90.36999999999999,92.90000000000003
95,90.36,94.40000000000003
96,90.4,95.70000000000003
97,90.35,96.80000000000003
98,90.35,97.70000000000003
99,90.39,98.40000000000003
100,90.4,100.10000000000004
