Round,Accuracy (%),Epsilon Acumulado
1,65.58,1.0
2,76.03,2.0
3,77.64,3.0
4,79.29,4.0
5,80.17999999999999,5.0
6,81.02000000000001,6.0
7,82.50999999999999,7.0
8,83.3,8.0
9,83.83,9.0
10,84.24000000000001,10.0
11,84.71,11.0
12,85.15,12.0
13,85.5,13.0
14,85.64,14.0
15,85.84,15.0
16,86.08,16.0
17,86.25,17.0
18,86.42,18.0
19,86.59,19.0
20,86.79,20.0
21,87.15,21.0
22,87.29,22.0
23,87.37,23.0
24,87.47,24.0
25,87.57000000000001,25.0
26,87.64999999999999,26.0
27,87.71,27.0
28,87.82,28.0
29,87.98,29.0
30,87.99,30.0
31,88.07000000000001,31.0
32,88.07000000000001,32.0
33,88.27000000000001,33.0
34,88.42999999999999,34.0
35,88.44999999999999,35.0
36,88.49000000000001,36.0
37,88.51,37.0
38,88.52,38.0
39,88.66000000000001,39.0
40,88.74,40.0
41,88.92,41.0
42,88.89,42.0
43,88.99000000000001,43.0
44,89.09,44.0
45,89.2,45.0
46,89.16,46.0
47,89.2,47.0
48,89.11,48.0
49,89.24,49.0
50,89.32,50.0
51,89.42,51.0
52,89.42,52.0
53,89.31,53.0
54,89.4,54.0
55,89.39,55.0
56,89.52,56.0
57,89.57000000000001,57.0
58,89.52,58.0
59,89.71000000000001,59.0
60,89.73,60.0
61,89.68,61.0
62,89.67,62.0
63,89.73,63.0
64,89.74,64.0
65,89.8,65.0
66,89.82,66.0
67,89.78,67.0
68,89.81,68.0
69,89.87,69.0
70,89.99000000000001,70.0
71,89.94,71.0
72,89.91,72.0
73,90.11,73.0
74,90.14999999999999,74.0
75,90.14,75.0
76,90.25,76.0
77,90.31,77.0
78,90.36999999999999,78.0
79,90.28,79.0
80,90.36999999999999,80.0
81,90.42,81.0
82,90.3,82.0
83,90.29,83.0
84,90.42,84.0
85,90.31,85.0
86,90.36999999999999,86.0
87,90.35,87.0
88,90.42999999999999,88.0
89,90.36,89.0
90,90.42999999999999,90.0
91,90.48,91.0
92,90.52,92.0
93,90.53,93.0
94,90.53,94.0
95,90.58,95.0
96,90.53999999999999,96.0
97,90.58,97.0
98,90.61,98.0
99,90.64999999999999,99.0
100,90.73,100.0
