Round,Accuracy (%),Epsilon Acumulado
1,79.61,1.0
2,90.13,1.8
3,92.03,2.4000000000000004
4,92.75,2.9000000000000004
5,94.71000000000001,3.4000000000000004
6,95.88,3.9000000000000004
7,96.71,4.4
8,97.09,4.9
9,97.31,5.4
10,97.54,5.9
11,97.77,6.4
12,97.86,6.9
13,98.03,7.4
14,98.17,7.9
15,98.19,8.4
16,98.32,8.9
17,98.34,10.4
18,98.44000000000001,11.700000000000001
19,98.49,12.8
20,98.52,13.700000000000001
21,98.56,14.400000000000002
22,98.57000000000001,14.900000000000002
23,98.7,15.400000000000002
24,98.72999999999999,16.900000000000002
25,98.78,18.200000000000003
26,98.71,19.300000000000004
27,98.77,20.200000000000003
28,98.81,20.900000000000002
29,98.8,21.400000000000002
30,98.83999999999999,22.900000000000002
31,98.83999999999999,24.200000000000003
32,98.86,25.300000000000004
33,98.9,26.200000000000003
34,98.91,26.900000000000002
35,98.89,28.6
36,98.91,30.1
37,98.92999999999999,31.400000000000002
38,98.91,32.5
39,98.94,33.4
40,98.97,34.1
41,98.94,34.6
42,98.99,36.1
43,99.0,37.400000000000006
44,98.98,38.50000000000001
45,99.03,39.400000000000006
46,99.02,40.10000000000001
47,99.02,41.80000000000001
48,99.00999999999999,43.30000000000001
49,99.03,44.600000000000016
50,99.08,45.70000000000002
51,99.06,46.600000000000016
52,99.03999999999999,47.30000000000002
53,99.05000000000001,47.80000000000002
54,99.11999999999999,49.30000000000002
55,99.15,50.60000000000002
56,99.13,51.700000000000024
57,99.1,52.60000000000002
58,99.09,53.300000000000026
59,99.08,55.00000000000003
60,99.14,56.50000000000003
61,99.11999999999999,57.80000000000003
62,99.11999999999999,58.900000000000034
63,99.11999999999999,59.80000000000003
64,99.13,60.500000000000036
65,99.14,62.20000000000004
66,99.17,63.70000000000004
67,99.11,65.00000000000004
68,99.18,66.10000000000005
69,99.2,67.00000000000006
70,99.15,67.70000000000006
71,99.18,69.40000000000006
72,99.22,70.90000000000006
73,99.19,72.20000000000006
74,99.19,73.30000000000007
75,99.17,74.20000000000007
76,99.15,74.90000000000008
77,99.14,76.60000000000008
78,99.18,78.10000000000008
79,99.17,79.40000000000008
80,99.2,80.50000000000009
81,99.21,81.40000000000009
82,99.22,82.1000000000001
83,99.16,82.6000000000001
84,99.19,84.1000000000001
85,99.22,85.40000000000009
86,99.21,86.5000000000001
87,99.2,87.4000000000001
88,99.22,88.10000000000011
89,99.26,89.80000000000011
90,99.27,91.30000000000011
91,99.25,92.60000000000011
92,99.26,93.70000000000012
93,99.25,94.60000000000012
94,99.24,95.30000000000013
95,99.21,95.80000000000013
96,99.19,96.30000000000013
97,99.22999999999999,97.80000000000013
98,99.22,99.10000000000012
99,99.22,100.20000000000012
100,99.22999999999999,101.10000000000012
