Round,Accuracy (%),Epsilon Acumulado
1,84.27,1.0
2,91.38,2.0
3,93.12,3.0
4,94.41000000000001,4.0
5,95.15,5.0
6,95.88,6.0
7,96.43,7.0
8,96.84,8.0
9,97.16,9.0
10,97.44,10.0
11,97.7,11.0
12,97.86,12.0
13,97.98,13.0
14,98.08,14.0
15,98.21,15.0
16,98.29,16.0
17,98.38,17.0
18,98.42999999999999,18.0
19,98.50999999999999,19.0
20,98.57000000000001,20.0
21,98.58,21.0
22,98.63,22.0
23,98.72,23.0
24,98.72999999999999,24.0
25,98.72,25.0
26,98.8,26.0
27,98.82,27.0
28,98.83999999999999,28.0
29,98.86,29.0
30,98.88,30.0
31,98.92,31.0
32,98.91,32.0
33,98.96000000000001,33.0
34,98.94,34.0
35,99.00999999999999,35.0
36,99.0,36.0
37,99.02,37.0
38,99.03,38.0
39,99.05000000000001,39.0
40,99.03,40.0
41,99.05000000000001,41.0
42,99.06,42.0
43,99.07000000000001,43.0
44,99.05000000000001,44.0
45,99.07000000000001,45.0
46,99.09,46.0
47,99.07000000000001,47.0
48,99.08,48.0
49,99.1,49.0
50,99.09,50.0
51,99.07000000000001,51.0
52,99.06,52.0
53,99.07000000000001,53.0
54,99.06,54.0
55,99.06,55.0
56,99.07000000000001,56.0
57,99.08,57.0
58,99.08,58.0
59,99.11,59.0
60,99.11999999999999,60.0
61,99.13,61.0
62,99.1,62.0
63,99.11999999999999,63.0
64,99.11,64.0
65,99.1,65.0
66,99.11,66.0
67,99.09,67.0
68,99.11,68.0
69,99.05000000000001,69.0
70,99.07000000000001,70.0
71,99.11999999999999,71.0
72,99.11999999999999,72.0
73,99.13,73.0
74,99.13,74.0
75,99.11999999999999,75.0
76,99.1,76.0
77,99.11999999999999,77.0
78,99.13,78.0
79,99.11999999999999,79.0
80,99.11,80.0
81,99.11999999999999,81.0
82,99.14,82.0
83,99.16,83.0
84,99.13,84.0
85,99.16,85.0
86,99.17,86.0
87,99.17,87.0
88,99.17,88.0
89,99.18,89.0
90,99.18,90.0
91,99.16,91.0
92,99.13,92.0
93,99.18,93.0
94,99.19,94.0
95,99.17,95.0
96,99.2,96.0
97,99.19,97.0
98,99.2,98.0
99,99.14,99.0
100,99.17,100.0
