Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,1.8
3,10.0,2.4000000000000004
4,10.0,2.9000000000000004
5,10.0,4.4
6,10.0,5.7
7,10.0,6.800000000000001
8,10.0,7.700000000000001
9,10.0,8.400000000000002
10,13.96,8.900000000000002
11,14.24,9.400000000000002
12,16.05,9.900000000000002
13,17.37,10.400000000000002
14,17.28,11.900000000000002
15,17.4,13.200000000000003
16,18.23,14.300000000000002
17,18.47,15.200000000000003
18,18.57,15.900000000000002
19,23.14,16.400000000000002
20,26.77,17.900000000000002
21,27.04,19.200000000000003
22,29.14,20.300000000000004
23,30.459999999999997,21.200000000000003
24,31.46,21.900000000000002
25,31.240000000000002,22.400000000000002
26,32.5,23.900000000000002
27,34.98,25.200000000000003
28,37.59,26.300000000000004
29,38.769999999999996,27.200000000000006
30,38.550000000000004,27.900000000000006
31,37.4,28.400000000000006
32,38.76,29.900000000000006
33,39.79,31.200000000000006
34,40.78,32.300000000000004
35,41.46,33.2
36,42.35,33.900000000000006
37,41.93,34.400000000000006
38,42.8,35.900000000000006
39,43.28,37.20000000000001
40,44.21,38.30000000000001
41,45.300000000000004,39.20000000000001
42,45.85,39.90000000000001
43,46.73,40.40000000000001
44,46.02,40.90000000000001
45,46.800000000000004,41.40000000000001
46,47.449999999999996,42.90000000000001
47,47.72,44.20000000000001
48,48.58,45.30000000000001
49,48.6,46.20000000000001
50,48.699999999999996,46.90000000000001
51,46.88,47.40000000000001
52,48.370000000000005,47.90000000000001
53,49.25,49.40000000000001
54,50.18,50.70000000000001
55,50.339999999999996,51.80000000000001
56,51.38,52.70000000000001
57,50.99,53.40000000000001
58,52.05,53.90000000000001
59,52.33,55.40000000000001
60,53.0,56.70000000000001
61,53.43,57.80000000000001
62,53.879999999999995,58.70000000000001
63,53.31,59.40000000000001
64,52.239999999999995,59.90000000000001
65,52.739999999999995,60.40000000000001
66,52.03,61.90000000000001
67,52.769999999999996,63.20000000000001
68,52.62,64.30000000000001
69,53.05,65.20000000000002
70,52.86,65.90000000000002
71,50.339999999999996,66.40000000000002
72,50.970000000000006,67.90000000000002
73,51.470000000000006,69.20000000000002
74,52.31,70.30000000000001
75,53.42,71.20000000000002
76,52.32,71.90000000000002
77,52.349999999999994,72.40000000000002
78,52.75,72.90000000000002
79,52.470000000000006,74.40000000000002
80,53.15,75.70000000000002
81,52.72,76.80000000000001
82,53.92,77.70000000000002
83,54.48,78.40000000000002
84,51.76,78.90000000000002
85,52.86,80.40000000000002
86,52.910000000000004,81.70000000000002
87,52.959999999999994,82.80000000000001
88,52.89,83.70000000000002
89,52.43,84.40000000000002
90,52.01,84.90000000000002
91,53.559999999999995,86.40000000000002
92,53.290000000000006,87.70000000000002
93,55.14,88.80000000000001
94,54.76,89.70000000000002
95,54.54,90.40000000000002
96,55.52,90.90000000000002
97,56.65,91.40000000000002
98,57.010000000000005,91.90000000000002
99,57.56,93.40000000000002
100,57.98,94.70000000000002
