Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,2.0
3,10.0,3.0
4,10.0,4.0
5,13.81,5.0
6,16.04,6.0
7,16.28,7.0
8,16.1,8.0
9,20.119999999999997,9.0
10,19.56,10.0
11,19.1,11.0
12,20.36,12.0
13,23.68,13.0
14,25.03,14.0
15,25.22,15.0
16,25.22,16.0
17,26.07,17.0
18,25.89,18.0
19,26.08,19.0
20,27.55,20.0
21,30.43,21.0
22,33.07,22.0
23,34.94,23.0
24,34.68,24.0
25,35.49,25.0
26,34.96,26.0
27,36.15,27.0
28,37.51,28.0
29,39.94,29.0
30,41.33,30.0
31,41.74,31.0
32,42.480000000000004,32.0
33,43.03,33.0
34,43.830000000000005,34.0
35,43.81,35.0
36,44.58,36.0
37,44.85,37.0
38,45.06,38.0
39,45.08,39.0
40,45.660000000000004,40.0
41,46.96,41.0
42,47.54,42.0
43,47.73,43.0
44,48.35,44.0
45,48.209999999999994,45.0
46,49.45,46.0
47,50.14999999999999,47.0
48,49.93,48.0
49,50.17,49.0
50,50.949999999999996,50.0
51,51.470000000000006,51.0
52,51.85999999999999,52.0
53,51.64,53.0
54,52.04,54.0
55,51.89,55.0
56,51.449999999999996,56.0
57,52.32,57.0
58,51.27,58.0
59,52.0,59.0
60,52.75,60.0
61,53.269999999999996,61.0
62,52.66,62.0
63,52.65,63.0
64,51.07000000000001,64.0
65,51.89,65.0
66,52.75,66.0
67,52.88,67.0
68,52.5,68.0
69,52.17,69.0
70,50.17,70.0
71,52.53,71.0
72,52.39,72.0
73,52.88,73.0
74,53.190000000000005,74.0
75,53.59,75.0
76,54.54,76.0
77,54.7,77.0
78,54.410000000000004,78.0
79,54.25,79.0
80,54.59,80.0
81,53.839999999999996,81.0
82,53.75,82.0
83,53.1,83.0
84,52.449999999999996,84.0
85,52.12,85.0
86,53.2,86.0
87,52.580000000000005,87.0
88,53.18000000000001,88.0
89,52.55,89.0
90,51.470000000000006,90.0
91,52.300000000000004,91.0
92,53.510000000000005,92.0
93,53.7,93.0
94,55.089999999999996,94.0
95,56.38999999999999,95.0
96,56.36,96.0
97,57.79,97.0
98,58.48,98.0
99,58.440000000000005,99.0
100,58.63,100.0
