Round,Accuracy (%),Epsilon Acumulado
1,8.36,1.0
2,20.36,1.8
3,38.42,2.4000000000000004
4,50.33,4.0
5,58.79,5.4
6,62.6,6.6000000000000005
7,63.690000000000005,7.6000000000000005
8,64.14999999999999,8.4
9,61.19,9.0
10,58.919999999999995,9.5
11,58.93000000000001,10.0
12,57.46,10.5
13,56.69,12.0
14,55.17999999999999,13.3
15,54.279999999999994,14.4
16,53.400000000000006,15.3
17,52.66,16.0
18,52.31,16.5
19,52.54,18.0
20,52.26,19.3
21,51.800000000000004,20.400000000000002
22,51.44,21.300000000000004
23,51.93,22.000000000000004
24,51.54,22.500000000000004
25,52.04,23.000000000000004
26,51.99,24.500000000000004
27,52.32,25.800000000000004
28,52.980000000000004,26.900000000000006
29,53.290000000000006,27.800000000000004
30,53.75,28.500000000000004
31,54.44,29.000000000000004
32,54.949999999999996,29.500000000000004
33,55.22,30.000000000000004
34,55.60000000000001,31.500000000000004
35,56.00000000000001,32.800000000000004
36,56.63,33.900000000000006
37,57.230000000000004,34.800000000000004
38,57.57,35.50000000000001
39,58.51,36.00000000000001
40,59.040000000000006,37.50000000000001
41,59.699999999999996,38.800000000000004
42,60.309999999999995,39.900000000000006
43,60.78,40.800000000000004
44,61.339999999999996,41.50000000000001
45,61.71,42.00000000000001
46,62.18,42.50000000000001
47,62.73,43.00000000000001
48,63.11,44.50000000000001
49,63.6,45.800000000000004
50,64.13,46.900000000000006
51,64.74,47.800000000000004
52,65.29,48.50000000000001
53,65.66,49.00000000000001
54,66.12,50.50000000000001
55,66.53999999999999,51.800000000000004
56,67.03,52.900000000000006
57,67.62,53.800000000000004
58,67.94,54.50000000000001
59,68.12,55.00000000000001
60,68.5,55.50000000000001
61,68.92,57.00000000000001
62,69.32000000000001,58.300000000000004
63,69.74000000000001,59.400000000000006
64,70.03,60.300000000000004
65,70.28,61.00000000000001
66,70.63000000000001,61.50000000000001
67,70.93,62.00000000000001
68,71.53,62.50000000000001
69,71.83,63.00000000000001
70,72.24000000000001,63.50000000000001
71,72.45,65.0
72,72.67,66.3
73,72.87,67.39999999999999
74,73.21,68.3
75,73.48,69.0
76,73.97,69.5
77,74.27,70.0
78,74.45,71.5
79,74.55000000000001,72.8
80,74.75,73.89999999999999
81,75.03,74.8
82,75.27000000000001,75.5
83,75.48,76.0
84,75.67,77.5
85,75.9,78.8
86,76.08,79.89999999999999
87,76.18,80.8
88,76.34,81.5
89,76.63,82.0
90,76.64999999999999,82.5
91,76.88000000000001,84.0
92,77.0,85.3
93,77.22,86.39999999999999
94,77.49000000000001,87.3
95,77.64,88.0
96,77.79,88.5
97,77.89,90.0
98,78.09,91.3
99,78.27,92.39999999999999
100,78.28,93.3
