Round,Accuracy (%),Epsilon Acumulado
1,11.020000000000001,1.0
2,21.04,1.8
3,36.720000000000006,2.4000000000000004
4,43.81,2.9000000000000004
5,59.85,4.4
6,62.06,5.7
7,62.93,6.800000000000001
8,63.09,7.700000000000001
9,63.49,8.400000000000002
10,63.980000000000004,8.900000000000002
11,64.49000000000001,9.400000000000002
12,66.34,9.900000000000002
13,66.24,11.400000000000002
14,65.38000000000001,12.700000000000003
15,64.92,13.800000000000002
16,65.28,14.700000000000003
17,64.81,15.400000000000002
18,64.03999999999999,15.900000000000002
19,64.21,16.400000000000002
20,63.33,16.900000000000002
21,63.080000000000005,17.400000000000002
22,62.44,18.900000000000002
23,61.62,20.200000000000003
24,61.12,21.300000000000004
25,61.129999999999995,22.200000000000003
26,60.760000000000005,22.900000000000002
27,60.67,23.400000000000002
28,60.95,23.900000000000002
29,60.85,25.400000000000002
30,61.01,26.700000000000003
31,60.919999999999995,27.800000000000004
32,60.92999999999999,28.700000000000003
33,60.89,29.400000000000002
34,61.019999999999996,29.900000000000002
35,61.21,31.400000000000002
36,61.47,32.7
37,61.82,33.800000000000004
38,62.1,34.7
39,62.19,35.400000000000006
40,62.53999999999999,35.900000000000006
41,62.91,37.400000000000006
42,63.160000000000004,38.7
43,63.46000000000001,39.800000000000004
44,63.62,40.7
45,63.83,41.400000000000006
46,63.980000000000004,41.900000000000006
47,64.53999999999999,42.400000000000006
48,64.91,42.900000000000006
49,65.23,44.400000000000006
50,65.48,45.7
51,65.72,46.800000000000004
52,66.08000000000001,47.7
53,66.35,48.400000000000006
54,66.64999999999999,48.900000000000006
55,67.12,49.400000000000006
56,67.66,49.900000000000006
57,67.94,50.400000000000006
58,68.24,51.900000000000006
59,68.63,53.2
60,68.96,54.300000000000004
61,69.22,55.2
62,69.56,55.900000000000006
63,69.89999999999999,56.400000000000006
64,70.19,56.900000000000006
65,70.32000000000001,57.400000000000006
66,70.62,58.900000000000006
67,70.93,60.2
68,71.19,61.300000000000004
69,71.55,62.2
70,71.88,62.900000000000006
71,72.2,63.400000000000006
72,72.43,64.9
73,72.82,66.2
74,73.03,67.3
75,73.15,68.2
76,73.31,68.9
77,73.61999999999999,69.4
78,73.86,70.9
79,74.11999999999999,72.2
80,74.28,73.3
81,74.58,74.2
82,74.82,74.9
83,74.97,75.4
84,75.08,76.9
85,75.35,78.2
86,75.44,79.3
87,75.61,80.2
88,75.85,80.9
89,75.94999999999999,81.4
90,76.19,81.9
91,76.41,83.4
92,76.58,84.7
93,76.64,85.8
94,76.9,86.7
95,77.07000000000001,87.4
96,77.25,87.9
97,77.41,88.4
98,77.59,89.9
99,77.79,91.2
100,77.86,92.3
