Round,Accuracy (%),Epsilon Acumulado
1,17.11,1.0
2,27.939999999999998,2.0
3,45.46,3.0
4,56.3,4.0
5,56.14,5.0
6,48.07,6.0
7,47.8,7.0
8,45.11,8.0
9,45.64,9.0
10,49.980000000000004,10.0
11,51.849999999999994,11.0
12,54.03,12.0
13,56.15,13.0
14,56.54,14.0
15,57.230000000000004,15.0
16,57.92,16.0
17,57.57,17.0
18,57.879999999999995,18.0
19,57.98,19.0
20,58.720000000000006,20.0
21,58.5,21.0
22,58.5,22.0
23,58.07,23.0
24,57.79,24.0
25,57.92,25.0
26,57.940000000000005,26.0
27,57.93000000000001,27.0
28,57.879999999999995,28.0
29,57.99999999999999,29.0
30,58.42,30.0
31,58.74,31.0
32,59.07,32.0
33,59.46,33.0
34,59.81999999999999,34.0
35,60.25,35.0
36,60.68,36.0
37,61.24000000000001,37.0
38,61.660000000000004,38.0
39,62.12,39.0
40,62.68,40.0
41,63.01,41.0
42,63.3,42.0
43,63.75999999999999,43.0
44,64.08,44.0
45,64.52,45.0
46,65.09,46.0
47,65.53,47.0
48,66.17,48.0
49,66.64,49.0
50,67.03,50.0
51,67.49000000000001,51.0
52,67.84,52.0
53,68.12,53.0
54,68.46,54.0
55,68.78,55.0
56,69.05,56.0
57,69.35,57.0
58,69.69999999999999,58.0
59,70.02000000000001,59.0
60,70.19999999999999,60.0
61,70.39999999999999,61.0
62,70.74000000000001,62.0
63,71.03,63.0
64,71.35000000000001,64.0
65,71.58,65.0
66,71.89,66.0
67,72.16,67.0
68,72.44,68.0
69,72.72999999999999,69.0
70,73.07000000000001,70.0
71,73.35000000000001,71.0
72,73.59,72.0
73,73.8,73.0
74,73.99,74.0
75,74.28,75.0
76,74.49,76.0
77,74.76,77.0
78,74.98,78.0
79,75.24,79.0
80,75.42,80.0
81,75.67,81.0
82,75.97,82.0
83,76.03,83.0
84,76.36,84.0
85,76.51,85.0
86,76.67,86.0
87,76.8,87.0
88,76.95,88.0
89,77.08,89.0
90,77.31,90.0
91,77.46,91.0
92,77.55,92.0
93,77.64,93.0
94,77.82,94.0
95,77.94,95.0
96,78.12,96.0
97,78.22,97.0
98,78.36,98.0
99,78.42,99.0
100,78.64,100.0
