Round,Accuracy (%),Epsilon Acumulado
1,5.7700000000000005,1.0
2,9.86,2.0
3,21.13,3.0
4,29.609999999999996,4.0
5,38.05,5.0
6,42.51,6.0
7,45.72,7.0
8,47.64,8.0
9,49.29,9.0
10,48.54,10.0
11,52.629999999999995,11.0
12,55.510000000000005,12.0
13,57.699999999999996,13.0
14,58.589999999999996,14.0
15,61.36000000000001,15.0
16,63.31,16.0
17,63.970000000000006,17.0
18,64.44,18.0
19,64.38000000000001,19.0
20,64.3,20.0
21,64.61,21.0
22,65.27,22.0
23,65.93,23.0
24,65.83,24.0
25,65.86,25.0
26,65.96,26.0
27,65.7,27.0
28,65.44,28.0
29,65.58,29.0
30,66.03999999999999,30.0
31,66.55,31.0
32,67.10000000000001,32.0
33,67.39,33.0
34,67.86,34.0
35,68.27,35.0
36,68.55,36.0
37,68.75,37.0
38,69.05,38.0
39,69.28,39.0
40,69.65,40.0
41,70.00999999999999,41.0
42,70.25,42.0
43,70.41,43.0
44,70.88,44.0
45,70.96000000000001,45.0
46,71.23,46.0
47,71.67999999999999,47.0
48,71.73,48.0
49,72.05,49.0
50,71.99,50.0
51,72.42,51.0
52,72.61999999999999,52.0
53,72.95,53.0
54,73.16,54.0
55,73.42999999999999,55.0
56,73.50999999999999,56.0
57,73.66,57.0
58,73.96000000000001,58.0
59,73.89,59.0
60,74.18,60.0
61,74.45,61.0
62,74.67,62.0
63,74.82,63.0
64,75.14,64.0
65,75.41,65.0
66,75.53999999999999,66.0
67,75.72,67.0
68,76.03,68.0
69,76.05,69.0
70,76.27000000000001,70.0
71,76.4,71.0
72,76.42999999999999,72.0
73,76.53,73.0
74,76.74,74.0
75,76.89,75.0
76,77.09,76.0
77,77.27000000000001,77.0
78,77.56,78.0
79,77.72,79.0
80,77.86,80.0
81,78.03999999999999,81.0
82,78.18,82.0
83,78.36,83.0
84,78.44,84.0
85,78.55,85.0
86,78.64999999999999,86.0
87,78.86,87.0
88,79.0,88.0
89,79.12,89.0
90,79.17,90.0
91,79.34,91.0
92,79.49000000000001,92.0
93,79.62,93.0
94,79.72,94.0
95,79.82000000000001,95.0
96,79.96,96.0
97,80.04,97.0
98,80.31,98.0
99,80.47,99.0
100,80.56,100.0
