Round,Accuracy (%),Epsilon Acumulado
1,11.85,1.0
2,13.05,1.8
3,17.24,2.4000000000000004
4,20.5,2.9000000000000004
5,31.72,3.4000000000000004
6,28.33,3.9000000000000004
7,28.32,5.4
8,29.74,6.7
9,30.8,7.800000000000001
10,31.28,8.700000000000001
11,31.740000000000002,9.400000000000002
12,31.3,9.900000000000002
13,33.64,10.400000000000002
14,35.93,10.900000000000002
15,37.36,12.400000000000002
16,38.81,13.700000000000003
17,39.87,14.800000000000002
18,39.94,15.700000000000003
19,41.04,16.400000000000002
20,42.22,16.900000000000002
21,43.79,17.400000000000002
22,43.68,17.900000000000002
23,44.01,18.400000000000002
24,44.82,19.900000000000002
25,45.39,21.200000000000003
26,45.69,22.300000000000004
27,46.150000000000006,23.200000000000003
28,46.64,23.900000000000002
29,49.15,24.400000000000002
30,49.28,25.900000000000002
31,49.46,27.200000000000003
32,49.559999999999995,28.300000000000004
33,49.6,29.200000000000003
34,49.49,29.900000000000002
35,49.34,30.400000000000002
36,49.61,31.900000000000002
37,49.7,33.2
38,49.85,34.300000000000004
39,49.82,35.2
40,49.95,35.900000000000006
41,50.129999999999995,36.400000000000006
42,50.22,36.900000000000006
43,50.3,37.400000000000006
44,50.519999999999996,38.900000000000006
45,50.68,40.2
46,50.78,41.300000000000004
47,50.980000000000004,42.2
48,51.22,42.900000000000006
49,51.2,43.400000000000006
50,51.35999999999999,43.900000000000006
51,51.54,45.400000000000006
52,51.739999999999995,46.7
53,51.959999999999994,47.800000000000004
54,52.080000000000005,48.7
55,52.26,49.400000000000006
56,52.35999999999999,49.900000000000006
57,52.44,50.400000000000006
58,52.669999999999995,50.900000000000006
59,52.81,52.400000000000006
60,52.93,53.7
61,53.010000000000005,54.800000000000004
62,53.2,55.7
63,53.33,56.400000000000006
64,53.339999999999996,56.900000000000006
65,53.669999999999995,57.400000000000006
66,53.800000000000004,58.900000000000006
67,54.09,60.2
68,54.37,61.300000000000004
69,54.52,62.2
70,54.779999999999994,62.900000000000006
71,55.02,63.400000000000006
72,55.13,63.900000000000006
73,55.34,64.4
74,55.47,65.9
75,55.53,67.2
76,55.779999999999994,68.3
77,55.95,69.2
78,56.169999999999995,69.9
79,56.44,70.4
80,56.53,71.9
81,56.65,73.2
82,56.87,74.3
83,56.940000000000005,75.2
84,57.18,75.9
85,57.269999999999996,76.4
86,57.25,76.9
87,57.36,78.4
88,57.50999999999999,79.7
89,57.52,80.8
90,57.56,81.7
91,57.64,82.4
92,57.769999999999996,82.9
93,57.87,84.4
94,57.89,85.7
95,58.01,86.8
96,58.07,87.7
97,58.120000000000005,88.4
98,58.160000000000004,88.9
99,58.269999999999996,90.4
100,58.330000000000005,91.7
