Round,Accuracy (%),Epsilon Acumulado
1,11.28,1.0
2,12.86,2.0
3,29.73,3.0
4,36.309999999999995,4.0
5,38.15,5.0
6,37.03,6.0
7,42.39,7.0
8,48.6,8.0
9,50.31,9.0
10,51.78,10.0
11,55.7,11.0
12,56.589999999999996,12.0
13,58.160000000000004,13.0
14,60.56,14.0
15,57.03,15.0
16,58.47,16.0
17,60.51,17.0
18,60.370000000000005,18.0
19,60.61,19.0
20,62.61,20.0
21,62.970000000000006,21.0
22,63.160000000000004,22.0
23,62.94,23.0
24,62.71,24.0
25,63.949999999999996,25.0
26,64.48,26.0
27,65.16,27.0
28,65.99000000000001,28.0
29,66.57,29.0
30,66.60000000000001,30.0
31,66.73,31.0
32,67.09,32.0
33,67.54,33.0
34,67.36,34.0
35,67.33,35.0
36,67.28,36.0
37,67.67,37.0
38,68.04,38.0
39,68.19,39.0
40,68.17,40.0
41,68.37,41.0
42,68.56,42.0
43,68.92,43.0
44,69.41000000000001,44.0
45,69.84,45.0
46,69.88,46.0
47,69.78,47.0
48,69.96,48.0
49,69.71000000000001,49.0
50,70.03,50.0
51,70.06,51.0
52,70.67999999999999,52.0
53,70.76,53.0
54,70.86,54.0
55,70.75,55.0
56,71.07,56.0
57,70.83,57.0
58,71.32,58.0
59,71.39999999999999,59.0
60,71.58,60.0
61,71.15,61.0
62,71.72,62.0
63,71.44,63.0
64,71.61999999999999,64.0
65,71.61,65.0
66,71.87,66.0
67,71.92,67.0
68,72.00999999999999,68.0
69,71.74000000000001,69.0
70,71.73,70.0
71,72.05,71.0
72,72.32,72.0
73,72.85000000000001,73.0
74,72.68,74.0
75,72.58,75.0
76,72.49,76.0
77,72.48,77.0
78,72.5,78.0
79,72.39,79.0
80,72.61999999999999,80.0
81,73.08,81.0
82,72.75,82.0
83,72.56,83.0
84,72.7,84.0
85,73.36,85.0
86,73.09,86.0
87,73.69,87.0
88,73.26,88.0
89,73.03,89.0
90,73.24000000000001,90.0
91,73.34,91.0
92,73.85000000000001,92.0
93,74.15,93.0
94,73.81,94.0
95,73.39,95.0
96,73.38,96.0
97,73.68,97.0
98,73.67,98.0
99,73.76,99.0
100,73.50999999999999,100.0
